Angulo_deg,Carrera_Husillo_mm,Desplazamiento_Ranura_mm,Vueltas_Husillo,Sensibilidad_deg_mm
-15.0,-3.1058,0.4089,-2.485,4.9431
-14.0,-2.9031,0.3565,-2.322,4.9208
-13.0,-2.6994,0.3076,-2.16,4.9002
-12.0,-2.4949,0.2622,-1.996,4.8813
-11.0,-2.2897,0.2205,-1.832,4.864
-10.0,-2.0838,0.1823,-1.667,4.8483
-9.0,-1.8772,0.1477,-1.502,4.8342
-8.0,-1.6701,0.1168,-1.336,4.8216
-7.0,-1.4624,0.0894,-1.17,4.8105
-6.0,-1.2543,0.0657,-1.003,4.8009
-5.0,-1.0459,0.0457,-0.837,4.7929
-4.0,-0.8371,0.0292,-0.67,4.7863
-3.0,-0.628,0.0164,-0.502,4.7812
-2.0,-0.4188,0.0073,-0.335,4.7776
-1.0,-0.2094,0.0018,-0.168,4.7754
0.0,0.0,0.0,0.0,4.7746
1.0,0.2094,0.0018,0.168,4.7754
2.0,0.4188,0.0073,0.335,4.7776
3.0,0.628,0.0164,0.502,4.7812
4.0,0.8371,0.0292,0.67,4.7863
5.0,1.0459,0.0457,0.837,4.7929
6.0,1.2543,0.0657,1.003,4.8009
7.0,1.4624,0.0894,1.17,4.8105
8.0,1.6701,0.1168,1.336,4.8216
9.0,1.8772,0.1477,1.502,4.8342
10.0,2.0838,0.1823,1.667,4.8483
11.0,2.2897,0.2205,1.832,4.864
12.0,2.4949,0.2622,1.996,4.8813
13.0,2.6994,0.3076,2.16,4.9002
14.0,2.9031,0.3565,2.322,4.9208
15.0,3.1058,0.4089,2.485,4.9431
