ID_Corrida,Estrategia,Condicion_Inyectada,Clase_Emitida,Angulo_Alcanzado,Error_Angular,Tiempo_Respuesta_ms,Acierto
1,Umbrales con Histeresis,-10.0,-10 deg,-9.968,0.032,37.31,1
2,Umbrales con Histeresis,-10.0,-10 deg,-9.945,0.055,39.74,1
3,Umbrales con Histeresis,-10.0,-10 deg,-9.986,0.014,40.13,1
4,Umbrales con Histeresis,-10.0,-10 deg,-10.011,0.011,38.27,1
5,Umbrales con Histeresis,-10.0,-10 deg,-9.978,0.022,39.25,1
6,Umbrales con Histeresis,-10.0,-10 deg,-9.982,0.018,39.39,1
7,Umbrales con Histeresis,-10.0,-10 deg,-9.917,0.083,38.64,1
8,Umbrales con Histeresis,-10.0,-10 deg,-9.959,0.041,38.72,1
9,Umbrales con Histeresis,-10.0,-10 deg,-9.968,0.032,38.09,1
10,Umbrales con Histeresis,-10.0,-10 deg,-9.983,0.017,37.71,1
11,Umbrales con Histeresis,-10.0,-10 deg,-9.956,0.044,37.3,1
12,Umbrales con Histeresis,-10.0,-10 deg,-9.968,0.032,39.28,1
13,Umbrales con Histeresis,-10.0,-10 deg,-9.982,0.018,39.32,1
14,Umbrales con Histeresis,-10.0,-10 deg,-9.923,0.077,37.34,1
15,Umbrales con Histeresis,-10.0,-10 deg,-9.95,0.05,40.19,1
16,Umbrales con Histeresis,-5.0,-5 deg,-5.035,0.035,38.29,1
17,Umbrales con Histeresis,-5.0,-5 deg,-4.989,0.011,39.47,1
18,Umbrales con Histeresis,-5.0,-5 deg,-4.993,0.007,39.63,1
19,Umbrales con Histeresis,-5.0,-5 deg,-4.967,0.033,40.21,1
20,Umbrales con Histeresis,-5.0,-5 deg,-4.999,0.001,39.88,1
21,Umbrales con Histeresis,-5.0,-5 deg,-5.004,0.004,40.38,1
22,Umbrales con Histeresis,-5.0,-5 deg,-4.999,0.001,40.41,1
23,Umbrales con Histeresis,-5.0,0 deg,-0.004,0.004,39.15,0
24,Umbrales con Histeresis,-5.0,-5 deg,-4.986,0.014,38.07,1
25,Umbrales con Histeresis,-5.0,-5 deg,-4.948,0.052,39.25,1
26,Umbrales con Histeresis,-5.0,-5 deg,-4.977,0.023,38.64,1
27,Umbrales con Histeresis,-5.0,-5 deg,-5.011,0.011,39.47,1
28,Umbrales con Histeresis,-5.0,-5 deg,-4.966,0.034,39.44,1
29,Umbrales con Histeresis,-5.0,-5 deg,-5.003,0.003,40.32,1
30,Umbrales con Histeresis,-5.0,-5 deg,-4.985,0.015,40.45,1
31,Umbrales con Histeresis,0.0,0 deg,-0.007,0.007,39.76,1
32,Umbrales con Histeresis,0.0,0 deg,-0.014,0.014,38.04,1
33,Umbrales con Histeresis,0.0,0 deg,-0.015,0.015,38.04,1
34,Umbrales con Histeresis,0.0,0 deg,0.03,0.03,37.66,1
35,Umbrales con Histeresis,0.0,0 deg,-0.01,0.01,39.24,1
36,Umbrales con Histeresis,0.0,0 deg,0.024,0.024,37.42,1
37,Umbrales con Histeresis,0.0,0 deg,-0.004,0.004,38.85,1
38,Umbrales con Histeresis,0.0,0 deg,-0.023,0.023,40.39,1
39,Umbrales con Histeresis,0.0,0 deg,0.003,0.003,37.51,1
40,Umbrales con Histeresis,0.0,0 deg,0.017,0.017,39.4,1
41,Umbrales con Histeresis,0.0,0 deg,-0.015,0.015,39.42,1
42,Umbrales con Histeresis,0.0,0 deg,-0.01,0.01,39.79,1
43,Umbrales con Histeresis,0.0,0 deg,-0.001,0.001,37.09,1
44,Umbrales con Histeresis,0.0,0 deg,0.019,0.019,37.7,1
45,Umbrales con Histeresis,0.0,0 deg,-0.01,0.01,37.66,1
46,Umbrales con Histeresis,5.0,5 deg,5.022,0.022,40.04,1
47,Umbrales con Histeresis,5.0,5 deg,4.981,0.019,37.78,1
48,Umbrales con Histeresis,5.0,5 deg,4.978,0.022,38.55,1
49,Umbrales con Histeresis,5.0,5 deg,5.004,0.004,40.09,1
50,Umbrales con Histeresis,5.0,5 deg,5.017,0.017,37.58,1
51,Umbrales con Histeresis,5.0,5 deg,4.976,0.024,38.93,1
52,Umbrales con Histeresis,5.0,5 deg,5.035,0.035,39.16,1
53,Umbrales con Histeresis,5.0,0 deg,-0.052,0.052,38.71,0
54,Umbrales con Histeresis,5.0,5 deg,5.024,0.024,37.83,1
55,Umbrales con Histeresis,5.0,5 deg,5.021,0.021,38.19,1
56,Umbrales con Histeresis,5.0,5 deg,4.959,0.041,39.62,1
57,Umbrales con Histeresis,5.0,5 deg,4.937,0.063,39.85,1
58,Umbrales con Histeresis,5.0,5 deg,5.014,0.014,40.5,1
59,Umbrales con Histeresis,5.0,5 deg,5.004,0.004,37.16,1
60,Umbrales con Histeresis,5.0,5 deg,5.001,0.001,38.61,1
61,Umbrales con Histeresis,10.0,10 deg,10.011,0.011,38.99,1
62,Umbrales con Histeresis,10.0,10 deg,9.969,0.031,40.23,1
63,Umbrales con Histeresis,10.0,10 deg,9.985,0.015,37.81,1
64,Umbrales con Histeresis,10.0,10 deg,9.965,0.035,37.34,1
65,Umbrales con Histeresis,10.0,10 deg,9.929,0.071,37.07,1
66,Umbrales con Histeresis,10.0,10 deg,9.967,0.033,39.87,1
67,Umbrales con Histeresis,10.0,10 deg,9.978,0.022,39.2,1
68,Umbrales con Histeresis,10.0,10 deg,9.975,0.025,39.67,1
